"Source: JMP,2023",,,,,,,
,,,,,,,
This dataset contains information on the percentage of the kenyan population with a handwashing facility and a bathing facility from 2000 to 20230,,,,,,,
,,,,,,,
,,,Hygiene %,,,,
,,,Population with a handwashing facility:,,,Population with a bathing facility:,
Year,Setting,"Population (1000s)
Source: UN Population Division",Observed,"Limited 
(facility lacking water or soap)","Basic 
(facility with water and soap)",Observed,On premises with water
2000,Total,30 643,0,0,0,0,0
2001,Total,31 619,0,0,0,0,0
2002,Total,32 630,0,0,0,0,0
2003,Total,33 652,0,0,0,0,0
2004,Total,34 713,0,0,0,0,0
2005,Total,35 796,0,0,0,0,0
2006,Total,36 904,0,0,0,0,0
2007,Total,38 036,0,0,0,0,0
2008,Total,39 206,0,0,0,0,0
2009,Total,40 409,0,0,0,0,0
2010,Total,41 599,0,0,0,0,0
2011,Total,42 758,57.7,42.6,15.2,0,0
2012,Total,43 888,57.8,42.6,15.2,0,0
2013,Total,44 987,57.8,42.7,15.2,0,0
2014,Total,46 051,57.9,42.7,15.2,0,0
2015,Total,47 089,58,42.8,15.2,0,0
2016,Total,48 140,59.7,40,19.8,0,0
2017,Total,49 198,61.5,37.1,24.4,0,0
2018,Total,50 207,63.3,34.3,29,0,0
2019,Total,51 203,65.1,31.4,33.7,0,0
2020,Total,52 217,66.9,28.5,38.4,0,0
2021,Total,53 219,68.7,25.6,43.1,0,0
2022,Total,54 252,70.5,22.7,47.9,0,0
2023,Total,55 339,72.3,19.7,52.7,0,0
2024,Total,56 433,74.2,16.7,57.5,0,0
2025,Total,57 532,74.3,16.6,57.7,0,0
2026,Total,58 636,74.4,16.5,57.8,0,0
2027,Total,59 746,74.5,16.4,58,0,0
2028,Total,60 860,74.6,16.4,58.2,0,0
2029,Total,61 979,0,0,0,0,0
2030,Total,63 102,0,0,0,0,0
2000,Rural,24 547,0,0,0,0,0
2001,Rural,25 220,0,0,0,0,0
2002,Rural,25 911,0,0,0,0,0
2003,Rural,26 603,0,0,0,0,0
2004,Rural,27 316,0,0,0,0,0
2005,Rural,28 038,0,0,0,0,0
2006,Rural,28 769,0,0,0,0,0
2007,Rural,29 509,0,0,0,0,0
2008,Rural,30 267,0,0,0,0,0
2009,Rural,31 041,0,0,0,0,0
2010,Rural,31 793,0,0,0,0,0
2011,Rural,32 510,54.6,39.7,14.9,0,0
2012,Rural,33 190,54.6,39.7,14.9,0,0
2013,Rural,33 833,54.6,39.7,14.9,0,0
2014,Rural,34 437,54.6,39.7,14.9,0,0
2015,Rural,35 007,54.6,39.7,14.9,0,0
2016,Rural,35 573,56.2,37.6,18.6,0,0
2017,Rural,36 130,57.8,35.5,22.3,0,0
2018,Rural,36 636,59.4,33.4,26,0,0
2019,Rural,37 118,61,31.3,29.7,0,0
2020,Rural,37 599,62.5,29.1,33.4,0,0
2021,Rural,38 055,64.1,27,37.1,0,0
2022,Rural,38 518,65.7,24.9,40.8,0,0
2023,Rural,39 003,67.3,22.8,44.5,0,0
2024,Rural,39 475,68.8,20.7,48.2,0,0
2025,Rural,39 934,68.8,20.7,48.2,0,0
2026,Rural,40 379,68.8,20.7,48.2,0,0
2027,Rural,40 809,68.8,20.7,48.2,0,0
2028,Rural,41 225,68.8,20.7,48.2,0,0
2029,Rural,41 625,0,0,0,0,0
2030,Rural,42 009,0,0,0,0,0
2000,Urban,6 095,0,0,0,0,0
2001,Urban,6 399,0,0,0,0,0
2002,Urban,6 719,0,0,0,0,0
2003,Urban,7 049,0,0,0,0,0
2004,Urban,7 397,0,0,0,0,0
2005,Urban,7 759,0,0,0,0,0
2006,Urban,8 135,0,0,0,0,0
2007,Urban,8 528,0,0,0,0,0
2008,Urban,8 939,0,0,0,0,0
2009,Urban,9 368,0,0,0,0,0
2010,Urban,9 805,0,0,0,0,0
2011,Urban,10 249,67.6,51.5,16,0,0
2012,Urban,10 698,67.6,51.5,16,0,0
2013,Urban,11 154,67.6,51.5,16,0,0
2014,Urban,11 615,67.6,51.5,16,0,0
2015,Urban,12 082,67.6,51.5,16,0,0
2016,Urban,12 567,69.7,46.6,23.1,0,0
2017,Urban,13 068,71.8,41.7,30.1,0,0
2018,Urban,13 571,73.9,36.8,37.1,0,0
2019,Urban,14 084,76,31.9,44.1,0,0
2020,Urban,14 618,78.1,27,51.1,0,0
2021,Urban,15 164,80.2,22.1,58.2,0,0
2022,Urban,15 734,82.3,17.1,65.2,0,0
2023,Urban,16 336,84.4,12.2,72.2,0,0
2024,Urban,16 958,86.5,7.3,79.2,0,0
2025,Urban,17 598,86.5,7.3,79.2,,
2026,Urban,18 258,86.5,7.3,79.2,,
2027,Urban,18 936,86.5,7.3,79.2,,
2028,Urban,19 635,86.5,7.3,79.2,,
2029,Urban,20 355,0,0,0,,
2030,Urban,21 093,0,0,0,,
