Source: ,"World Health Organization, 2023",,,,
,https://www.who.int/data/gho/data/themes/maternal-and-reproductive-health/maternal-mortality-country-profiles,,,,
World Countries Maternal Mortality Rates 2000-2020,,,,,
This dataset contains information on maternal mortality rates of different countries from 2000-2020.,,,,,
,,,,,
Fiji,49,45,42,39,38
Finland,7,8,7,7,8
France,9,9,9,8,8
Gabon,249,239,193,212,227
Gambia,778,718,620,535,458
Georgia,53,45,41,30,28
Germany,7,7,6,5,4
Ghana,499,390,337,286,263
Greece,4,3,3,5,8
Grenada,42,32,27,23,21
Guatemala,152,149,123,107,96
Guinea,971,846,741,649,553
Guinea-Bissau,1300,977,795,713,725
Guyana,190,172,148,128,112
Haiti,400,363,403,391,350
Honduras,82,75,73,67,72
Hungary,15,13,15,15,15
Iceland,5,4,3,3,3
India,384,286,179,128,103
Indonesia,299,276,219,194,173
Iran (Islamic Republic of),44,30,32,20,22
Iraq,117,116,115,102,76
Ireland,10,9,7,6,5
Israel,9,4,3,3,3
Italy,10,8,7,7,5
Jamaica,83,86,88,97,99
Japan,9,7,6,5,4
Jordan,64,58,47,46,41
Kazakhstan,56,36,20,13,13
Kenya,564,503,476,483,530
Kiribati,116,118,131,121,76
Kuwait,10,10,9,7,7
Kyrgyzstan,87,83,72,61,50
Lao People's Democratic Republic,579,442,284,184,126
Latvia,32,28,25,22,18
Lebanon,32,25,18,19,21
Lesotho,545,563,1040,728,566
Liberia,777,676,634,686,652
Libya,57,50,57,71,72
Lithuania,18,11,10,8,9
Luxembourg,9,11,8,7,6
Madagascar,658,568,497,482,392
Malawi,573,347,513,445,381
Malaysia,40,32,25,22,21
Maldives,114,79,60,57,57
Mali,742,560,547,494,440
Malta,10,8,5,4,3
Mauritania,684,652,586,510,464
Mauritius,52,48,55,57,84
Mexico,57,53,51,52,59
Micronesia (Federated States of),60,57,46,64,74
Mongolia,158,94,65,47,39
Montenegro,11,10,7,6,6
Morocco,244,194,134,97,72
Mozambique,532,404,322,226,127
Myanmar,371,321,293,243,179
Namibia,450,419,482,299,215
Nepal,504,380,349,252,174
Netherlands,13,10,6,5,4
New Zealand,11,10,10,9,7
Nicaragua,169,158,98,79,78
Niger,867,768,594,491,441
Nigeria,1148,1073,1123,1113,1047
North Macedonia,12,9,6,5,3
Norway,6,6,4,2,2
Oman,20,20,18,15,17
Pakistan,387,301,230,187,154
Panama,66,53,55,49,50
Papua New Guinea,312,314,289,208,192
Paraguay,148,127,100,80,71
Peru,113,97,76,65,69
Philippines,129,122,105,88,78
Poland,8,5,3,2,2
Portugal,11,9,10,10,12
Puerto Rico,22,20,21,18,34
Qatar,28,19,10,7,8
Republic of Korea,16,12,8,6,8
Republic of Moldova,49,30,18,17,12
Romania,50,37,22,15,10
Russian Federation,52,31,17,10,14
Rwanda,1007,533,386,312,259
Saint Lucia,87,82,73,80,73
Saint Vincent and the Grenadines,76,54,45,36,62
Samoa,75,62,62,58,59
Sao Tome and Principe,179,160,160,139,146
Saudi Arabia,22,17,15,16,16
Senegal,638,519,450,321,261
Serbia,18,16,14,13,10
Seychelles,44,15,8,5,3
Sierra Leone,1682,1327,837,588,443
Singapore,15,13,8,8,7
Slovakia,9,7,5,5,5
Slovenia,12,9,6,5,5
Solomon Islands,150,153,147,141,122
Somalia,1097,1080,963,761,621
South Africa,173,221,219,141,127
South Sudan,1687,1332,1060,1225,1223
Spain,5,4,4,4,3
Sri Lanka,61,44,37,30,29
State of Palestine,62,54,43,26,20
Sudan,642,525,383,298,270
Suriname,278,190,138,125,96
Sweden,6,5,5,4,5
Switzerland,8,9,8,6,7
Syrian Arab Republic,34,23,21,30,30
Tajikistan,68,44,32,20,17
Thailand,48,40,35,30,29
Timor-Leste,750,584,376,285,204
Togo,479,494,530,441,399
Tonga,94,95,93,86,126
Trinidad and Tobago,74,56,47,31,27
Tunisia,62,56,44,40,37
Turkey,32,25,22,19,17
Turkmenistan,26,17,9,6,5
Uganda,461,435,372,319,284
Ukraine,36,21,17,11,17
United Arab Emirates,22,13,9,9,9
United Kingdom,11,11,10,8,10
United Republic of Tanzania,760,559,486,330,238
United States,12,13,14,17,21
Uruguay,27,20,18,17,19
Uzbekistan,43,45,38,31,30
Vanuatu,109,98,93,92,94
Venezuela (Bolivarian Republic of),92,95,112,126,259
Viet Nam,97,78,88,109,124
Yemen,275,196,157,164,183
Zambia,419,309,268,166,135
Zimbabwe,388,533,618,408,357
