"Source: JMP,2023",,,,,,,
,,,,,,,
This dataset contains information on the percentage of the kenyan population with access to sanitation in rural and urban areas from 2000 to  2030,,,,,,,
,,,,,,,
,,,Sanitation %,,,,
,,,,,,,
Year,Setting,"Population (1000s)
Source: UN Population Division",Improved sanitation,At least basic (improved and not shared),Limited (improved and shared),Unimproved sanitation,Open defecation
2000,Total,30 643,40.4,23.6,16.7,42.7,16.9
2001,Total,31 619,41.6,24.3,17.2,42,16.4
2002,Total,32 630,42.7,25,17.7,41.3,16
2003,Total,33 652,43.9,25.8,18.1,40.7,15.5
2004,Total,34 713,45,26.5,18.6,40,15
2005,Total,35 796,46.2,27.2,19,39.3,14.5
2006,Total,36 904,47.3,27.9,19.4,38.6,14
2007,Total,38 036,48.5,28.6,19.9,37.9,13.6
2008,Total,39 206,49.7,29.4,20.3,37.2,13.1
2009,Total,40 409,50.8,30.1,20.8,36.5,12.6
2010,Total,41 599,52,30.8,21.2,35.9,12.2
2011,Total,42 758,53.2,31.5,21.6,35.2,11.7
2012,Total,43 888,54.3,32.2,22.1,34.4,11.2
2013,Total,44 987,55.5,33,22.5,33.7,10.8
2014,Total,46 051,56.7,33.7,23,33,10.3
2015,Total,47 089,57.8,34.4,23.4,32.3,9.9
2016,Total,48 140,59,35.1,23.9,31.6,9.4
2017,Total,49 198,60.2,35.9,24.3,30.9,9
2018,Total,50 207,61.3,36.6,24.8,30.1,8.5
2019,Total,51 203,62.5,37.3,25.2,29.4,8.1
2020,Total,52 217,63.7,38,25.7,28.7,7.6
2021,Total,53 219,64.9,38.7,26.2,27.9,7.2
2022,Total,54 252,66.1,39.5,26.6,27.2,6.8
2023,Total,55 339,67.3,40.2,27.1,26.4,6.3
2024,Total,56 433,68.4,40.9,27.6,25.6,5.9
2025,Total,57 532,69.6,41.6,28,24.9,5.5
2026,Total,58 636,70.8,42.3,28.5,24.1,5.1
2027,Total,59 746,71,42.3,28.7,24,5
2028,Total,60 860,71.2,42.3,28.9,23.8,5
2029,Total,61 979,71.3,42.3,29.1,23.7,5
2030,Total,63 102,71.5,42.3,29.2,23.6,4.9
2000,Rural,24 547,33.7,22.3,11.4,45.8,20.4
2001,Rural,25 220,34.8,23,11.8,45.3,19.9
2002,Rural,25 911,35.9,23.8,12.1,44.7,19.4
2003,Rural,26 603,36.9,24.6,12.4,44.2,18.9
2004,Rural,27 316,38,25.3,12.7,43.6,18.4
2005,Rural,28 038,39.1,26.1,13,43,17.9
2006,Rural,28 769,40.2,26.9,13.3,42.5,17.4
2007,Rural,29 509,41.2,27.7,13.6,41.9,16.8
2008,Rural,30 267,42.3,28.4,13.9,41.4,16.3
2009,Rural,31 041,43.4,29.2,14.1,40.8,15.8
2010,Rural,31 793,44.4,30,14.4,40.2,15.3
2011,Rural,32 510,45.5,30.8,14.7,39.7,14.8
2012,Rural,33 190,46.6,31.6,15,39.1,14.3
2013,Rural,33 833,47.7,32.4,15.3,38.6,13.8
2014,Rural,34 437,48.7,33.2,15.5,38,13.3
2015,Rural,35 007,49.8,34,15.8,37.5,12.7
2016,Rural,35 573,50.9,34.8,16.1,36.9,12.2
2017,Rural,36 130,51.9,35.6,16.3,36.3,11.7
2018,Rural,36 636,53,36.4,16.6,35.8,11.2
2019,Rural,37 118,54.1,37.3,16.8,35.2,10.7
2020,Rural,37 599,55.2,38.1,17.1,34.7,10.2
2021,Rural,38 055,56.2,38.9,17.3,34.1,9.7
2022,Rural,38 518,57.3,39.7,17.6,33.5,9.2
2023,Rural,39 003,58.4,40.6,17.8,33,8.6
2024,Rural,39 475,59.4,41.4,18,32.4,8.1
